count,word,rank
7,ill,762.0
7,type,762.0
7,sent,762.0
7,dish,762.0
7,hostile,762.0
7,fixed,762.0
7,department,762.0
7,counter,762.0
7,experienced,762.0
7,soon,762.0
7,inspection,762.0
6,unable,861.0
6,threatened,861.0
6,spot,861.0
6,jerk,861.0
6,ignorant,861.0
6,helping,861.0
6,among,861.0
6,resource,861.0
6,consistency,861.0
6,knowing,861.0
6,common,861.0
6,nobody,861.0
6,payno,861.0
6,drawer,861.0
6,owned,861.0
6,state,861.0
6,charge,861.0
6,becomes,861.0
6,a,861.0
6,possible,861.0
6,friend,861.0
6,drop,861.0
6,sale,861.0
6,bc,861.0
6,breakfast,861.0
6,interview,861.0
6,guest,861.0
6,concern,861.0
6,safety,861.0
6,energy,861.0
6,goal,861.0
6,air,861.0
6,uncomfortable,861.0
6,loud,861.0
6,believe,861.0
6,direction,861.0
6,once,861.0
6,obviously,861.0
6,wear,861.0
6,expects,861.0
6,25,861.0
6,inadequate,861.0
6,unappreciated,861.0
6,became,861.0
6,focused,861.0
6,establishment,861.0
6,several,861.0
6,16,861.0
6,practice,861.0
6,sloppy,861.0
6,hear,861.0
6,gossip,861.0
6,greatest,861.0
6,did,861.0
6,who,861.0
6,frequently,861.0
6,lacking,861.0
6,racist,861.0
6,giving,861.0
6,improvement,861.0
6,no,861.0
6,random,861.0
6,ups,861.0
6,appreciation,861.0
6,individual,861.0
6,interaction,861.0
6,list,861.0
6,childish,861.0
6,idiot,861.0
6,process,861.0
6,prior,861.0
6,beyond,861.0
6,complained,861.0
6,code,861.0
6,culture,861.0
6,atmosphere,861.0
6,choice,861.0
6,require,861.0
6,fat,861.0
6,nicest,861.0
6,office,861.0
6,thrown,861.0
6,9,861.0
6,main,861.0
6,mac,861.0
6,toward,861.0
6,ghetto,861.0
6,basic,861.0
6,ton,861.0
6,speed,861.0
6,coworker,861.0
6,40,861.0
6,income,861.0
6,ppl,861.0
6,irritating,861.0
6,happen,861.0
6,suffer,861.0
6,quick,861.0
6,which,861.0
5,cold,964.5
5,everywhere,964.5
5,the,964.5
5,shirt,964.5
5,totally,964.5
5,100,964.5
5,later,964.5
5,toxic,964.5
5,cheap,964.5
5,miscommunication,964.5
5,accountable,964.5
5,fake,964.5
5,entry,964.5
5,sweaty,964.5
5,restroom,964.5
5,cashier,964.5
5,choose,964.5
5,likely,964.5
5,afternoon,964.5
5,chain,964.5
5,waiting,964.5
5,deposit,964.5
5,alone,964.5
5,harder,964.5
5,broke,964.5
5,disability,964.5
5,confusion,964.5
5,spanish,964.5
5,potential,964.5
5,stigma,964.5
5,winter,964.5
5,previous,964.5
5,3rd,964.5
5,eye,964.5
5,what,964.5
5,expensive,964.5
5,theyve,964.5
5,biased,964.5
5,report,964.5
5,ruined,964.5
5,direct,964.5
5,avoid,964.5
5,happens,964.5
5,managed,964.5
5,bus,964.5
5,i,964.5
5,empty,964.5
5,rough,964.5
5,worry,964.5
5,lose,964.5
5,compared,964.5
5,sometime,964.5
5,bunch,964.5
5,everyones,964.5
5,biggest,964.5
5,kill,964.5
5,notice,964.5
5,harassment,964.5
5,verbally,964.5
5,fail,964.5
5,happened,964.5
5,stop,964.5
5,live,964.5
5,whatever,964.5
5,stick,964.5
5,example,964.5
5,exactly,964.5
5,prepared,964.5
5,teamwork,964.5
5,force,964.5
5,petty,964.5
5,showing,964.5
5,door,964.5
5,begin,964.5
5,cleaned,964.5
5,trip,964.5
5,trouble,964.5
5,death,964.5
5,current,964.5
5,mine,964.5
5,social,964.5
5,simple,964.5
5,group,964.5
5,unstable,964.5
5,slightly,964.5
5,spent,964.5
5,slave,964.5
5,bonus,964.5
5,moral,964.5
5,nugget,964.5
5,men,964.5
5,wish,964.5
5,90,964.5
5,learning,964.5
5,assume,964.5
5,screen,964.5
5,eating,964.5
5,adult,964.5
5,clientele,964.5
5,retirement,964.5
5,practically,964.5
5,fix,964.5
5,consistent,964.5
5,gain,964.5
5,kinda,964.5
5,unclean,964.5
5,christmas,964.5
5,fair,964.5
4,gotta,1113.5
4,violation,1113.5
4,faster,1113.5
4,being,1113.5
4,graveyard,1113.5
4,andor,1113.5
4,filling,1113.5
4,harassed,1113.5
4,security,1113.5
4,customerslow,1113.5
4,forget,1113.5
4,girl,1113.5
4,fulltime,1113.5
4,affect,1113.5
4,till,1113.5
4,over,1113.5
4,sort,1113.5
4,buck,1113.5
4,leaf,1113.5
4,sleep,1113.5
4,mention,1113.5
4,depressing,1113.5
4,questionable,1113.5
4,operation,1113.5
4,friendly,1113.5
4,whether,1113.5
4,401k,1113.5
4,weight,1113.5
4,slacker,1113.5
4,payed,1113.5
4,relative,1113.5
4,normally,1113.5
4,breaking,1113.5
4,newer,1113.5
4,incredibly,1113.5
4,older,1113.5
4,adequate,1113.5
4,eventually,1113.5
4,picking,1113.5
4,satisfaction,1113.5
4,healthy,1113.5
4,encounter,1113.5
4,anxiety,1113.5
4,onto,1113.5
4,near,1113.5
4,ugly,1113.5
4,corporation,1113.5
4,2nd,1113.5
4,filthy,1113.5
4,nearly,1113.5
4,stock,1113.5
4,salaried,1113.5
4,cry,1113.5
4,theyll,1113.5
4,learned,1113.5
4,body,1113.5
4,panic,1113.5
4,option,1113.5
4,thinking,1113.5
4,hungry,1113.5
4,knew,1113.5
4,strenuous,1113.5
4,unreasonable,1113.5
4,god,1113.5
4,bring,1113.5
4,feedback,1113.5
4,dishonest,1113.5
4,physical,1113.5
4,leading,1113.5
4,asking,1113.5
4,button,1113.5
4,so,1113.5
4,desperate,1113.5
4,rudest,1113.5
4,smile,1113.5
4,bully,1113.5
4,ruin,1113.5
4,refused,1113.5
4,threat,1113.5
4,national,1113.5
4,willing,1113.5
4,total,1113.5
4,attention,1113.5
4,black,1113.5
4,caused,1113.5
4,patient,1113.5
4,law,1113.5
4,ignore,1113.5
4,anymore,1113.5
4,average,1113.5
4,wash,1113.5
4,changed,1113.5
4,perfect,1113.5
4,arent,1113.5
4,insane,1113.5
4,dress,1113.5
4,chaos,1113.5
4,thick,1113.5
4,rushed,1113.5
4,ground,1113.5
4,allows,1113.5
4,bag,1113.5
4,project,1113.5
4,finally,1113.5
4,downright,1113.5
4,following,1113.5
4,sexually,1113.5
4,frequent,1113.5
4,action,1113.5
4,stayed,1113.5
4,application,1113.5
4,payrude,1113.5
4,complicated,1113.5
4,mc,1113.5
4,typical,1113.5
4,benifits,1113.5
4,appreciate,1113.5
4,11,1113.5
4,major,1113.5
4,mop,1113.5
4,refuse,1113.5
4,progress,1113.5
4,question,1113.5
4,sanitary,1113.5
4,requested,1113.5
4,sexual,1113.5
4,recognition,1113.5
4,stink,1113.5
4,witnessed,1113.5
4,achieve,1113.5
4,parking,1113.5
4,bill,1113.5
4,degree,1113.5
4,but,1113.5
4,subpar,1113.5
4,fine,1113.5
4,stability,1113.5
4,overbearing,1113.5
4,donalds,1113.5
4,cramped,1113.5
4,lying,1113.5
4,relationship,1113.5
4,inconvenient,1113.5
4,opening,1113.5
4,chicken,1113.5
4,whenever,1113.5
4,suppose,1113.5
4,yourself,1113.5
4,operator,1113.5
4,decided,1113.5
4,busiest,1113.5
4,gonna,1113.5
4,falling,1113.5
4,unpaid,1113.5
4,age,1113.5
4,sold,1113.5
4,volume,1113.5
4,b,1113.5
4,currently,1113.5
4,sorry,1113.5
4,failed,1113.5
4,focus,1113.5
4,heard,1113.5
4,swing,1113.5
4,wearing,1113.5
4,gossiping,1113.5
4,slowly,1113.5
4,dirt,1113.5
4,grouchy,1113.5
4,involved,1113.5
4,competitive,1113.5
4,inexperienced,1113.5
4,motivated,1113.5
4,varied,1113.5
4,scream,1113.5
4,needle,1113.5
4,picky,1113.5
4,background,1113.5
4,heavy,1113.5
4,serve,1113.5
4,247,1113.5
4,varies,1113.5
4,feeling,1113.5
4,harsh,1113.5
4,town,1113.5
4,draining,1113.5
4,dollar,1113.5
4,diversity,1113.5
4,forever,1113.5
4,push,1113.5
3,professionalism,1358.0
3,degrading,1358.0
3,return,1358.0
3,if,1358.0
3,moved,1358.0
3,covering,1358.0
3,talked,1358.0
3,absolute,1358.0
3,sitting,1358.0
3,wasting,1358.0
3,across,1358.0
3,variable,1358.0
3,it’s,1358.0
3,bug,1358.0
3,love,1358.0
3,unnecessarily,1358.0
3,station,1358.0
3,aggravating,1358.0
3,sauce,1358.0
3,determine,1358.0
3,ate,1358.0
3,for,1358.0
3,odd,1358.0
3,youre,1358.0
3,saw,1358.0
3,normal,1358.0
3,ridiculously,1358.0
3,meaning,1358.0
3,otherwise,1358.0
3,varying,1358.0
3,book,1358.0
3,paybad,1358.0
3,vat,1358.0
3,fried,1358.0
3,medical,1358.0
3,exciting,1358.0
3,deliver,1358.0
3,throughout,1358.0
3,attempt,1358.0
3,plain,1358.0
